"Código","year","Quarter","kz_dum","SETOR_NUM","NOME","CLASSE","SETOR_ECONOMATICA","SETOR_NAICS","SEGMENTO_LIST_BOVESPA","SETOR_ECON_BOVESPA","SEGMENTO_BOVESPA","SUBSETOR_BOVESPA","ID_CVM","kz","PU","AT","K","LL","D_CP","D_LP","V","DEP","CAIXA","PL","DESP_FIN","EBIT","V_MERC","QTD_ACOES","DIV_PAGOS","INV_AT","FC_AT","D_AT","CV","TAM","INV_K","FC_K","D_K","ALAVANC","CAIXA_AT","CAIXA_K","DIVIDENDOS_AT","DIVIDENDOS_K","QTB","COB_JUROS","ROA","LN_PU","DIV_PL","ROE","ROK"
"EALT4",2014,60,1,14,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos",538,2.02084742267611,148.63472366333,358107094.18,228517874.87,8880466.1781,69730679.699,191950554.98,224733510.78,13189525.468,21017977.78,96425859.491,10417823.1,17482843.903,60585786.822,2250000,3636137.7025,-0.0208361832891105,0.0603454597973157,0.715508853843359,-0.107310194415422,19.696342645384,-0.0339152549885182,0.0933033455871121,1.10628653895442,0.730734573369762,0.0574689629920178,0.0888558399022376,0.00994220591753111,0.0153721767592348,0.899918004246559,1.67816670864761,0.0247983531251584,5.0014917770144,2.71380764517245,0.0920963134264711,0.0375431589679076
"EALT4",2015,64,1,14,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos",538,2.18254163353619,249.816769917806,319283789.07,197012859.92,144598.33423,54933144.22,179258080.85,173798901.12,11823876.903,16065823.119,85092563.997,15110525.926,10153884.666,46872118.953,2250000,2513877.5975,-0.108412555185198,0.0334214971770823,0.653969800867127,-0.22664447986959,19.5815908861801,-0.137866742231533,0.0523743503392838,1.02482672396296,0.733489244018137,0.0448631802611669,0.0703044482981455,0.0070199044876682,0.0110007919464948,0.880293186327037,0.671974272485689,0.000452883419641134,5.52072772881606,2.75219377662961,0.00169930634873216,0.000632765967704975
"EALT4",2016,68,1,14,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos",538,2.30668302011492,308.932376861572,272718801.48,177705572,-1841052.0728,52136007.639,143411377.3,131234339.97,10865664.08,6415246.8655,77171416.535,9499650.2776,3396635.1386,30744551.86304,2250000,970148.57865,-0.145842003834999,0.0282651744815689,0.612456352728037,-0.244906963598183,19.4239517910937,-0.0980001403352045,0.0458072229948064,0.992561526280086,0.717029349946167,0.0200926169292407,0.0325625792555116,0.00303851498842399,0.00492429062267277,0.814273038748615,0.357553703488349,-0.00675073395310083,5.73312240783948,2.53393540923682,-0.0238566577557251,-0.00934483197466189
"EALT4",2017,72,1,14,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos",538,1.72367063392909,346.490038553874,274481997.73,167411033.36,33197544.875,104081365.56,64252543.947,182416436.3,10365025.675,1509964.0288,106148088.21,9033787.6617,52112173.19,80426706.7,2250000,2011480.0585,0.0064652537354646,0.159734386898128,0.617243507207716,0.390005362481346,19.4303962347232,-0.0579303086793473,0.245139024397052,0.947262978940244,0.613278506084606,0.00553670674924381,0.00849699878178271,0.00737565597818716,0.0113191726959468,0.90629118945607,5.76858513189731,0.120946164592023,5.84785406945444,1.58584023834677,0.312747459090578,0.186812065043183
"EALT4",2018,76,0,14,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos",538,1.01030102234839,165.088276545207,362412368.77,227365574.4,12788961.182,121360966.68,79611257.26,257847550.22,10367734.879,2014034.2984,161440144.82,12345226.306,21048694.378,98500662.028,22500000,6065072.7006,0.320350229768054,0.0843650813259475,0.732187267660776,0.413510511716975,19.7082932617107,0.358127775909931,0.138322400837249,1.20047179631124,0.554540190302086,0.00733758248284519,0.0120304752797806,0.0220964316449126,0.0362286318820916,0.826331857779546,1.70500676587597,0.0352884235861065,5.10648034019899,1.24487142999083,0.0792179739200509,0.076392582527692
"EALT4",2019,80,0,14,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos",538,1.27269888444364,158.080664316813,368838918.88,190566474.46,16867505.311,118674125.84,87227354.33,299487056.2,10180962.347,4989882.7355,162937438.7,12693420.856,27100518.592,221799286.58,22500000,6578437.1791,0.0177327008231293,0.0746345047488319,0.568141426488323,0.161488856281444,19.7258705724955,-0.161849919615623,0.118964657377788,0.905596551779477,0.558242283110507,0.0137685221738852,0.0219465182830246,0.0181518009482588,0.0289333035419279,1.15958686802558,2.13500512583966,0.0457313598093692,5.06310543639972,1.26368428160397,0.103521360379651,0.0741867160651388
"TIET11",2017,72,0,6,"AES Tiete E","UNT N2","Energia Elétrica","Geração, transmissão e distribuição de energia elétrica","Nível 2","Utilidade pública","Energia elétrica","Energia elétrica",1897,-0.648419363508029,346.490038553874,7385081335.5,5114967402.4,323090057.84,2162341062.9,3535469205.1,1871884209,229148414.85,145789518.32,1687271067.5,319833994.8,683066998.77,5497253661.1,1967081000,387372931.05,0.61546303093904,0.1208004077903,1.24637785653253,0.0751282419078387,22.7227277664778,0.484782371828286,0.160304824017208,1.65397109666409,0.77152979217855,0.0318909929958712,0.0423200559787155,0.084736595423753,0.112447344058658,1.51590259071156,2.13569229623992,0.0437490182114732,5.84785406945444,3.37693828676998,0.191486752818394,0.0937871905437215
"TIET11",2018,76,0,6,"AES Tiete E","UNT N2","Energia Elétrica","Geração, transmissão e distribuição de energia elétrica","Nível 2","Utilidade pública","Energia elétrica","Energia elétrica",1897,1.27250992984403,165.088276545207,7937743508.2,5729182104.4,300657002.94,1504600558.1,4842511074.1,2008326301.8,292422327.71,159552444.45,1590631876,440518059.69,763336748.49,4165491930.8,1967385000,281965845.86,0.0748349473205338,0.0803077588054548,0.859450471004227,0.0728902418985041,22.7948948788931,0.120081840934471,0.115949777191487,1.24088994765086,0.799611580500577,0.021604696983232,0.0311932475610961,0.0381804658676667,0.0551256388706795,1.32438186647629,1.73281601446073,0.0378768856198754,5.10648034019899,3.99030833467341,0.189017338000336,0.0587798473161194
"TIET11",2019,80,0,6,"AES Tiete E","UNT N2","Energia Elétrica","Geração, transmissão e distribuição de energia elétrica","Nível 2","Utilidade pública","Energia elétrica","Energia elétrica",1897,1.31495867384837,158.080664316813,7806550921.6,5541010028.5,300412962.22,1905788866.1,4448170655.5,2051730674.1,313487756.26,31869184.861,1452591400,440235782.64,723778236.62,6979291916.3,1995532000,330690589.7,-0.0165276928467734,0.0773394501656317,0.800474280258125,0.0216122112532699,22.778229079899,-0.0328444920184129,0.107153291219095,1.10905176442553,0.813926609255719,0.00401489224589808,0.00556260636863411,0.0416605285064179,0.0577203837605424,1.7079567624427,1.64406953083108,0.0384821626396858,5.06310543639972,4.37422355770522,0.206811745009643,0.0524355757498585
"ALPA4",2006,28,0,17,"Alpargatas","PN","Textil","Indústria de calçados","Nível 1","Consumo cíclico","Calçados","Tecidos vestuário e calçados",1045,-0.545653497298493,96.7511024475098,2155634636.2,409737068.63,257863573.88,340197117.02,272638726.14,2766541868.8,76415336.043,522254282.56,1542798793,48852701.908,307689745.5,4677279201.5,17770010,103529929.72,-0.0984970784385139,0.139798001410483,0.256292645223148,-0.0294247576690753,21.4913510119034,-0.282105059094144,0.585685691284012,1.07374163846431,0.28429485817304,0.218410742534643,0.915034874852401,0.0432970098662749,0.181393431223677,2.45408704973563,6.29831582456678,0.119623042583212,4.57214172665127,0.397223439595989,0.167140119016155,0.451799383812943
"ALPA4",2007,32,0,17,"Alpargatas","PN","Textil","Indústria de calçados","Nível 1","Consumo cíclico","Calçados","Tecidos vestuário e calçados",1045,-0.326763240598897,113.58053334554,2609027144.7,435956304.02,234372720.01,496151605.11,396347308.49,2514178846.7,60710007.472,234887426.39,1716528231.1,24779992.773,258714042.57,5144503118.1,17739000,97148879.615,0.210329014428554,0.136889026798242,0.414030698251034,-0.0912196648624964,21.6822432473014,0.0639903913933558,0.720175815355542,2.17822350461033,0.342081114569095,0.108964396120515,0.573263793718668,0.04506741447904,0.237100538498574,2.31389008119889,10.4404405981866,0.089831460928303,4.73251213020812,0.519944209148289,0.136538808837305,0.572007606716303
"ALPA4",2008,36,0,17,"Alpargatas","PN","Textil","Indústria de calçados","Nível 1","Consumo cíclico","Calçados","Tecidos vestuário e calçados",1045,-0.159612215569845,174.038621902466,3310353195.3,614494011.21,318811638.64,820928785.94,610024267.66,3053692714.9,101817370.9,325924937.28,1787882694.7,42806815.028,340983628.5,1357186232.2,17418000,97251899.725,0.268807494787733,0.16122063367354,0.548462309603352,0.214588500300264,21.9203207261715,0.409531197378463,0.96484213133595,3.28233137221558,0.444556095897638,0.124922018516399,0.747609185311948,0.0372751582606407,0.223077172707975,0.842248280261625,7.96563884224888,0.0963074390650052,5.15927723954065,0.800361823424947,0.178317984499255,0.73129264492841
"ALPA4",2009,40,0,17,"Alpargatas","PN","Textil","Indústria de calçados","Nível 1","Consumo cíclico","Calçados","Tecidos vestuário e calçados",1045,0.704970347846081,131.44704469045,3086591566.1,517281812.07,237817837.06,688973742.59,468348747.12,3538878719,106824338.07,541117422.68,1860130628.2,104812447.35,321207177.86,3636854494.9,17418000,52035612.228,-0.0675944879590777,0.104110393905798,0.34960695171535,0.15888501214697,21.8503332660032,-0.158198773896233,0.56085522208974,1.88337472554227,0.383542823860543,0.163462141576999,0.880590230024351,0.0157190514600918,0.0846804220687793,1.55322687888621,3.06458999843209,0.0770486901059248,4.87860406853784,0.622172696994894,0.127850073244657,0.387014084306067
"ALPA4",2010,44,0,17,"Alpargatas","PN","Textil","Indústria de calçados","Nível 1","Consumo cíclico","Calçados","Tecidos vestuário e calçados",1045,-0.0369495694994116,92.7765544255574,3743628319.6,502438041.31,510471517.69,1037759845.9,459506183.73,3731219006.5,84602287.726,803994181.73,2183710839,72117988.823,540272532.31,6165390439.5,348363000,106373158.67,0.212868058319159,0.192793180656517,0.485087190049521,0.0543506298950959,22.0433211170227,-0.0286957136586726,1.15038609812068,2.89448806181375,0.406757793668847,0.260479614653347,1.55426725427029,0.0344629849437467,0.205638698651182,2.04685289642983,7.49150858374596,0.13635742496588,4.53019396159539,0.685652149034371,0.233763330095373,0.98683446001562
"ALPA4",2011,48,0,17,"Alpargatas","PN","Textil","Indústria de calçados","Nível 1","Consumo cíclico","Calçados","Tecidos vestuário e calçados",1045,-0.273927224817207,133.884857654572,3821626789.7,535062860.24,480990188.01,1042493270.7,448095979.07,4028382789.3,84543311.46,798678089.59,2311994759.4,97931617.487,487866617.25,6733410382.2,348363000,159838255.86,0.0208349930711962,0.151065611003399,0.398166998033947,0.0796425463855977,22.0639420300898,0.064933019094131,1.12557858476538,2.9667125639683,0.39199377217582,0.21334331867522,1.58960513321726,0.042696080437034,0.318125306442275,2.15196304729055,4.981706927436,0.125860062868085,4.89698015933123,0.644719995021456,0.208041210324726,0.957312441462276
"ALPA4",2012,52,0,17,"Alpargatas","PN","Textil","Indústria de calçados","Nível 1","Consumo cíclico","Calçados","Tecidos vestuário e calçados",1045,0.466480603442733,117.530190149943,4051596955.2,730821593.5,413896547.34,1116788775.6,479516437.98,4445196557.4,88990204.252,181578570.52,2447495231.1,107712768.73,431304910.5,8435752482.7,383198000,124086327.69,0.0601759873883585,0.131589707542184,0.417703062445119,0.10346925550549,22.1223769502711,0.365861187173771,0.93986480647607,2.98339752615979,0.394753706424878,0.0475134230818635,0.339359323946636,0.0324695043546471,0.23190981267947,2.47607494210509,4.00421338700463,0.102156397074192,4.76669523802776,0.652219948499167,0.169110256919266,0.77354751767736
